min,nc,,,,,,,,,,,
6,0,,,,,,,,Rótulos de Linha,Contagem de min,,
8,0,,,,,,,,0,30,15,0
9,0,,,,,,,,1,20,20,20
11,0,,,,,,,,2,4,4,8
13,0,,,,,,,,3,4,4,12
14,0,,,,,,,,5,1,1,5
15,0,,,,,,,,6,1,1,6
16,0,,,,,,,,Total Geral,60,,#DIV/0!
17,0,,,,,,,,,,,
18,0,,,,,,,,,,,
23,0,,,,,,,,,,,
24,0,,,,,,,,,,,
25,0,,,,,,,,,,,
27,0,,,,,,,,,,,
29,0,,,,,,,,,,,
31,0,,,,,,,,,,,
32,0,,,,,,,,,,,
34,0,,,,,,,,,,,
35,0,,,,,,,,,,,
39,0,,,,,,,,,,,
40,0,,,,,,,,,,,
41,0,,,,,,,,,,,
42,0,,,,,,,,,,,
44,0,,,,,,,,,,,
46,0,,,,,,,,,,,
47,0,,,,,,,,,,,
51,0,,,,,,,,,,,
57,0,,,,,,,,,,,
58,0,,,,,,,,,,,
60,0,,,,,,,,,,,
5,1,,,,,,,,,,,
7,1,,,,,,,,,,,
12,1,,,,,,,,,,,
20,1,,,,,,,,,,,
21,1,,,,,,,,,,,
22,1,,,,,,,,,,,
26,1,,,,,,,,,,,
28,1,,,,,,,,,,,
30,1,,,,,,,,,,,
33,1,,,,,,,,,,,
36,1,,,,,,,,,,,
37,1,,,,,,,,,,,
43,1,,,,,,,,,,,
48,1,,,,,,,,,,,
50,1,,,,,,,,,,,
52,1,,,,,,,,,,,
54,1,,,,,,,,,,,
55,1,,,,,,,,,,,
56,1,,,,,,,,,,,
59,1,,,,,,,,,,,
2,2,,,,,,,,,,,
19,2,,,,,,,,,,,
38,2,,,,,,,,,,,
53,2,,,,,,,,,,,
1,3,,,,,,,,,,,
10,3,,,,,,,,,,,
45,3,,,,,,,,,,,
49,3,,,,,,,,,,,
4,5,,,,,,,,,,,
3,6,,,,,,,,,,,
